"","n_c","n_t","p_c","p_t","alpha","power"
"1",500,500,0.1,0.15,0.05,0.670671344673454
"2",500,500,0.1,0.15,0.1,0.775459184462514
"3",500,500,0.1,0.15,0.15,0.832082207632715
"4",500,500,0.1,0.25,0.05,0.999995133851688
"5",500,500,0.1,0.25,0.1,0.999998921596397
"6",500,500,0.1,0.25,0.15,0.99999961627866
"7",500,500,0.1,0.35,0.05,0.999999999999998
"8",500,500,0.1,0.35,0.1,1
"9",500,500,0.1,0.35,0.15,1
"10",500,500,0.2,0.15,0.05,0.549962654401129
"11",500,500,0.2,0.15,0.1,0.6703484361207
"12",500,500,0.2,0.15,0.15,0.741050543108353
"13",500,500,0.2,0.25,0.05,0.474486403695921
"14",500,500,0.2,0.25,0.1,0.599280405633192
"15",500,500,0.2,0.25,0.15,0.676335543099942
"16",500,500,0.2,0.35,0.05,0.999659439871762
"17",500,500,0.2,0.35,0.1,0.999897258472647
"18",500,500,0.2,0.35,0.15,0.999955264087655
"19",500,500,0.3,0.15,0.05,0.999925728971714
"20",500,500,0.3,0.15,0.1,0.999980097157477
"21",500,500,0.3,0.15,0.15,0.999991980996535
"22",500,500,0.3,0.25,0.05,0.425614364070655
"23",500,500,0.3,0.25,0.1,0.550971906733942
"24",500,500,0.3,0.25,0.15,0.630956520210948
"25",500,500,0.3,0.35,0.05,0.393355909972287
"26",500,500,0.3,0.35,0.1,0.518049790747881
"27",500,500,0.3,0.35,0.15,0.599394101328815
"28",500,1000,0.1,0.15,0.05,0.791977005031439
"29",500,1000,0.1,0.15,0.1,0.870430868907186
"30",500,1000,0.1,0.15,0.15,0.908866237073407
"31",500,1000,0.1,0.25,0.05,0.999999968573899
"32",500,1000,0.1,0.25,0.1,0.999999994846599
"33",500,1000,0.1,0.25,0.15,0.999999998493822
"34",500,1000,0.1,0.35,0.05,1
"35",500,1000,0.1,0.35,0.1,1
"36",500,1000,0.1,0.35,0.15,1
"37",500,1000,0.2,0.15,0.05,0.672974261503363
"38",500,1000,0.2,0.15,0.1,0.777363341903165
"39",500,1000,0.2,0.15,0.15,0.833676275573639
"40",500,1000,0.2,0.25,0.05,0.59063784426209
"41",500,1000,0.2,0.25,0.1,0.706929513775019
"42",500,1000,0.2,0.25,0.15,0.773387289089492
"43",500,1000,0.2,0.35,0.05,0.999988095531091
"44",500,1000,0.2,0.35,0.1,0.999997199458161
"45",500,1000,0.2,0.35,0.15,0.999998963817077
"46",500,1000,0.3,0.15,0.05,0.999998590307505
"47",500,1000,0.3,0.15,0.1,0.999999711361097
"48",500,1000,0.3,0.15,0.15,0.999999902472684
"49",500,1000,0.3,0.25,0.05,0.534441798641072
"50",500,1000,0.3,0.25,0.1,0.656075679480331
"51",500,1000,0.3,0.25,0.15,0.72825187417458
"52",500,1000,0.3,0.35,0.05,0.496204338220096
"53",500,1000,0.3,0.35,0.1,0.620161916773498
"54",500,1000,0.3,0.35,0.15,0.695604961825493
"55",500,2000,0.1,0.15,0.05,0.859481279249932
"56",500,2000,0.1,0.15,0.1,0.918206759366819
"57",500,2000,0.1,0.15,0.15,0.945029336914882
"58",500,2000,0.1,0.25,0.05,0.999999999514071
"59",500,2000,0.1,0.25,0.1,0.999999999935809
"60",500,2000,0.1,0.25,0.15,0.999999999983708
"61",500,2000,0.1,0.35,0.05,1
"62",500,2000,0.1,0.35,0.1,1
"63",500,2000,0.1,0.35,0.15,1
"64",500,2000,0.2,0.15,0.05,0.751104802014624
"65",500,2000,0.2,0.15,0.1,0.839672313374753
"66",500,2000,0.2,0.15,0.15,0.884641376309392
"67",500,2000,0.2,0.25,0.05,0.669343387622887
"68",500,2000,0.2,0.25,0.1,0.774359435554903
"69",500,2000,0.2,0.25,0.15,0.831160609809258
"70",500,2000,0.2,0.35,0.05,0.99999926842936
"71",500,2000,0.2,0.35,0.1,0.999999856137893
"72",500,2000,0.2,0.35,0.15,0.999999952656996
"73",500,2000,0.3,0.15,0.05,0.999999947441709
"74",500,2000,0.3,0.15,0.1,0.999999991132559
"75",500,2000,0.3,0.15,0.15,0.999999997359734
"76",500,2000,0.3,0.25,0.05,0.610916737707543
"77",500,2000,0.3,0.25,0.1,0.724725372511471
"78",500,2000,0.3,0.25,0.15,0.788870584579751
"79",500,2000,0.3,0.35,0.05,0.570078201711388
"80",500,2000,0.3,0.35,0.1,0.688587603953598
"81",500,2000,0.3,0.35,0.15,0.757258134640458
"82",1000,500,0.1,0.15,0.05,0.791977005031439
"83",1000,500,0.1,0.15,0.1,0.870430868907186
"84",1000,500,0.1,0.15,0.15,0.908866237073407
"85",1000,500,0.1,0.25,0.05,0.999999968573899
"86",1000,500,0.1,0.25,0.1,0.999999994846599
"87",1000,500,0.1,0.25,0.15,0.999999998493822
"88",1000,500,0.1,0.35,0.05,1
"89",1000,500,0.1,0.35,0.1,1
"90",1000,500,0.1,0.35,0.15,1
"91",1000,500,0.2,0.15,0.05,0.672974261503363
"92",1000,500,0.2,0.15,0.1,0.777363341903165
"93",1000,500,0.2,0.15,0.15,0.833676275573639
"94",1000,500,0.2,0.25,0.05,0.59063784426209
"95",1000,500,0.2,0.25,0.1,0.706929513775019
"96",1000,500,0.2,0.25,0.15,0.773387289089492
"97",1000,500,0.2,0.35,0.05,0.999988095531091
"98",1000,500,0.2,0.35,0.1,0.999997199458161
"99",1000,500,0.2,0.35,0.15,0.999998963817077
"100",1000,500,0.3,0.15,0.05,0.999998590307505
"101",1000,500,0.3,0.15,0.1,0.999999711361097
"102",1000,500,0.3,0.15,0.15,0.999999902472684
"103",1000,500,0.3,0.25,0.05,0.534441798641072
"104",1000,500,0.3,0.25,0.1,0.656075679480331
"105",1000,500,0.3,0.25,0.15,0.72825187417458
"106",1000,500,0.3,0.35,0.05,0.496204338220096
"107",1000,500,0.3,0.35,0.1,0.620161916773498
"108",1000,500,0.3,0.35,0.15,0.695604961825493
"109",1000,1000,0.1,0.15,0.05,0.924580266019012
"110",1000,1000,0.1,0.15,0.1,0.960086037694273
"111",1000,1000,0.1,0.15,0.15,0.974827212248932
"112",1000,1000,0.1,0.25,0.05,0.999999999999208
"113",1000,1000,0.1,0.25,0.1,0.999999999999922
"114",1000,1000,0.1,0.25,0.15,0.999999999999984
"115",1000,1000,0.1,0.35,0.05,1
"116",1000,1000,0.1,0.35,0.1,1
"117",1000,1000,0.1,0.35,0.15,1
"118",1000,1000,0.2,0.15,0.05,0.838749334445995
"119",1000,1000,0.2,0.15,0.1,0.903960245110413
"120",1000,1000,0.2,0.15,0.15,0.934453542007794
"121",1000,1000,0.2,0.25,0.05,0.764588101468523
"122",1000,1000,0.2,0.25,0.1,0.849963443228563
"123",1000,1000,0.2,0.25,0.15,0.892820563547488
"124",1000,1000,0.2,0.35,0.05,0.999999990229888
"125",1000,1000,0.2,0.35,0.1,0.99999999849575
"126",1000,1000,0.2,0.35,0.15,0.999999999578086
"127",1000,1000,0.3,0.15,0.05,0.99999999967263
"128",1000,1000,0.3,0.15,0.1,0.999999999957582
"129",1000,1000,0.3,0.15,0.15,0.999999999989369
"130",1000,1000,0.3,0.25,0.05,0.707561793550944
"131",1000,1000,0.3,0.25,0.1,0.805500639628989
"132",1000,1000,0.3,0.25,0.15,0.856985356644038
"133",1000,1000,0.3,0.35,0.05,0.665935183631495
"134",1000,1000,0.3,0.35,0.1,0.771531131435113
"135",1000,1000,0.3,0.35,0.15,0.828787315007354
"136",1000,2000,0.1,0.15,0.05,0.975119826170685
"137",1000,2000,0.1,0.15,0.1,0.98861074156982
"138",1000,2000,0.1,0.15,0.15,0.993475937559944
"139",1000,2000,0.1,0.25,0.05,1
"140",1000,2000,0.1,0.25,0.1,1
"141",1000,2000,0.1,0.25,0.15,1
"142",1000,2000,0.1,0.35,0.05,1
"143",1000,2000,0.1,0.35,0.1,1
"144",1000,2000,0.1,0.35,0.15,1
"145",1000,2000,0.2,0.15,0.05,0.925853377252231
"146",1000,2000,0.2,0.15,0.1,0.960855324544373
"147",1000,2000,0.2,0.15,0.15,0.97535240282566
"148",1000,2000,0.2,0.25,0.05,0.872001203162586
"149",1000,2000,0.2,0.25,0.1,0.926612708522286
"150",1000,2000,0.2,0.25,0.15,0.951175720751284
"151",1000,2000,0.2,0.35,0.05,0.999999999994316
"152",1000,2000,0.2,0.35,0.1,0.99999999999939
"153",1000,2000,0.2,0.35,0.15,0.999999999999865
"154",1000,2000,0.3,0.15,0.05,0.999999999999948
"155",1000,2000,0.3,0.15,0.1,0.999999999999995
"156",1000,2000,0.3,0.15,0.15,0.999999999999999
"157",1000,2000,0.3,0.25,0.05,0.824843240391573
"158",1000,2000,0.3,0.25,0.1,0.894186630999889
"159",1000,2000,0.3,0.25,0.15,0.927091212740498
"160",1000,2000,0.3,0.35,0.05,0.787631164158752
"161",1000,2000,0.3,0.35,0.1,0.867223079767731
"162",1000,2000,0.3,0.35,0.15,0.906371628006956
"163",2000,500,0.1,0.15,0.05,0.859481279249932
"164",2000,500,0.1,0.15,0.1,0.918206759366819
"165",2000,500,0.1,0.15,0.15,0.945029336914882
"166",2000,500,0.1,0.25,0.05,0.999999999514071
"167",2000,500,0.1,0.25,0.1,0.999999999935809
"168",2000,500,0.1,0.25,0.15,0.999999999983708
"169",2000,500,0.1,0.35,0.05,1
"170",2000,500,0.1,0.35,0.1,1
"171",2000,500,0.1,0.35,0.15,1
"172",2000,500,0.2,0.15,0.05,0.751104802014624
"173",2000,500,0.2,0.15,0.1,0.839672313374753
"174",2000,500,0.2,0.15,0.15,0.884641376309392
"175",2000,500,0.2,0.25,0.05,0.669343387622887
"176",2000,500,0.2,0.25,0.1,0.774359435554903
"177",2000,500,0.2,0.25,0.15,0.831160609809258
"178",2000,500,0.2,0.35,0.05,0.99999926842936
"179",2000,500,0.2,0.35,0.1,0.999999856137893
"180",2000,500,0.2,0.35,0.15,0.999999952656996
"181",2000,500,0.3,0.15,0.05,0.999999947441709
"182",2000,500,0.3,0.15,0.1,0.999999991132559
"183",2000,500,0.3,0.15,0.15,0.999999997359734
"184",2000,500,0.3,0.25,0.05,0.610916737707543
"185",2000,500,0.3,0.25,0.1,0.724725372511471
"186",2000,500,0.3,0.25,0.15,0.788870584579751
"187",2000,500,0.3,0.35,0.05,0.570078201711388
"188",2000,500,0.3,0.35,0.1,0.688587603953598
"189",2000,500,0.3,0.35,0.15,0.757258134640458
"190",2000,1000,0.1,0.15,0.05,0.975119826170685
"191",2000,1000,0.1,0.15,0.1,0.98861074156982
"192",2000,1000,0.1,0.15,0.15,0.993475937559944
"193",2000,1000,0.1,0.25,0.05,1
"194",2000,1000,0.1,0.25,0.1,1
"195",2000,1000,0.1,0.25,0.15,1
"196",2000,1000,0.1,0.35,0.05,1
"197",2000,1000,0.1,0.35,0.1,1
"198",2000,1000,0.1,0.35,0.15,1
"199",2000,1000,0.2,0.15,0.05,0.925853377252231
"200",2000,1000,0.2,0.15,0.1,0.960855324544373
"201",2000,1000,0.2,0.15,0.15,0.97535240282566
"202",2000,1000,0.2,0.25,0.05,0.872001203162586
"203",2000,1000,0.2,0.25,0.1,0.926612708522286
"204",2000,1000,0.2,0.25,0.15,0.951175720751284
"205",2000,1000,0.2,0.35,0.05,0.999999999994316
"206",2000,1000,0.2,0.35,0.1,0.99999999999939
"207",2000,1000,0.2,0.35,0.15,0.999999999999865
"208",2000,1000,0.3,0.15,0.05,0.999999999999948
"209",2000,1000,0.3,0.15,0.1,0.999999999999995
"210",2000,1000,0.3,0.15,0.15,0.999999999999999
"211",2000,1000,0.3,0.25,0.05,0.824843240391573
"212",2000,1000,0.3,0.25,0.1,0.894186630999889
"213",2000,1000,0.3,0.25,0.15,0.927091212740498
"214",2000,1000,0.3,0.35,0.05,0.787631164158752
"215",2000,1000,0.3,0.35,0.1,0.867223079767731
"216",2000,1000,0.3,0.35,0.15,0.906371628006956
"217",2000,2000,0.1,0.15,0.05,0.997768695560117
"218",2000,2000,0.1,0.15,0.1,0.999207285016616
"219",2000,2000,0.1,0.15,0.15,0.999615748062859
"220",2000,2000,0.1,0.25,0.05,1
"221",2000,2000,0.1,0.25,0.1,1
"222",2000,2000,0.1,0.25,0.15,1
"223",2000,2000,0.1,0.35,0.05,1
"224",2000,2000,0.1,0.35,0.1,1
"225",2000,2000,0.1,0.35,0.15,1
"226",2000,2000,0.2,0.15,0.05,0.986480905397479
"227",2000,2000,0.2,0.15,0.1,0.994232782959516
"228",2000,2000,0.2,0.15,0.15,0.99684670224323
"229",2000,2000,0.2,0.25,0.05,0.966500502454242
"230",2000,2000,0.2,0.25,0.1,0.984095067860937
"231",2000,2000,0.2,0.25,0.15,0.990666538326823
"232",2000,2000,0.2,0.35,0.05,1
"233",2000,2000,0.2,0.35,0.1,1
"234",2000,2000,0.2,0.35,0.15,1
"235",2000,2000,0.3,0.15,0.05,1
"236",2000,2000,0.3,0.15,0.1,1
"237",2000,2000,0.3,0.15,0.15,1
"238",2000,2000,0.3,0.25,0.05,0.943446137028214
"239",2000,2000,0.3,0.25,0.1,0.971249946734501
"240",2000,2000,0.3,0.25,0.15,0.982346401582169
"241",2000,2000,0.3,0.35,0.05,0.921921242890066
"242",2000,2000,0.3,0.35,0.1,0.958472317150473
"243",2000,2000,0.3,0.35,0.15,0.973722409733768
